division,grupo,articulo,monto,porcentaje
ALIMENTOS Y BEBIDAS,Productos de panaderia,ALFAJORES- MERENGUES- TARTELETAS-PALOS BORRACHOS P,6459566024.9852,0.001398
ALIMENTOS Y BEBIDAS,Productos de panaderia,FACTURAS Y CHURROS POR UNIDAD,17673213408.4382,0.003826
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETAS-GRISINES-TOSTADAS (SUELTAS POR KILOGRAMO),2918757110.21263,0.000632
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETAS-GRISINES-TOSTADAS (ENVASADAS),533135540.57507,0.000115
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS SUELTAS POR KILOGRAMO,11644971188.4553,0.002521
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS DE AGUA ENVASADAS.,3532231037.30407,0.000765
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS DULCES SUELTAS POR KILOGRAMO.,10759388625.4291,0.002329
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS DULCES ENVASADAS,3514794699.37053,0.000761
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS OTRAS POR KG,5299728217.77415,0.001147
ALIMENTOS Y BEBIDAS,Productos de panaderia,GALLETITAS OTRAS ENVASADAS,1275227729.29409,0.000276
ALIMENTOS Y BEBIDAS,Productos de panaderia,MASAS SECAS POR KG.,3763471538.90005,0.000815
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN FRANCES MENOR NUMERO DE PIEZAS POR KG.(FELIPE-,53421300788.6184,0.011564
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN FRANCES MAYOR NUMERO DE PIEZAS POR KG.(ROSETA-,6246628679.73412,0.001352
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN CASERO POR KG,2309201150.9123,0.0005
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN DE GRASA POR KG,241553373.13412,5.2e-05
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN LACTAL POR KG.,4158801279.89169,0.0009
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN NEGRO INTEGRAL POR KG,1283900604.28453,0.000278
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN PEBETE POR UNIDAD,1146379809.39425,0.000248
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN DE SANDWICH POR KG,153432371.92487,3.3e-05
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN RALLADO POR KG.,2078412935.85138,0.00045
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN DE SALVADO.,1815396317.99494,0.000393
ALIMENTOS Y BEBIDAS,Productos de panaderia,PAN OTROS POR KG,932360609.31353,0.000202
ALIMENTOS Y BEBIDAS,Productos de panaderia,BUDIN-PAN DULCE-ROSCA- TARTA DULCE-TORTA (ENTERA P,8638793065.96583,0.00187
ALIMENTOS Y BEBIDAS,Productos de panaderia,BUDIN-PAN DULCE-ROSCA-TORTA (PORCION POR UNIDAD),485040869.07773,0.000105
