division,grupo,articulo,monto,porcentaje
ALIMENTOS Y BEBIDAS,ACEITES Y GRASAS,Aceites,39667270.4300003,0.005625
ALIMENTOS Y BEBIDAS,ACEITES Y GRASAS,Grasas,5021015.25,0.000712
ALIMENTOS Y BEBIDAS,ALIMENTOS LISTOS PARA CONSUMIR Y OTROS PRODUCTOS ALIMENTICIOS,Comidas listas para consumir,91532842.1799996,0.01298
ALIMENTOS Y BEBIDAS,ALIMENTOS LISTOS PARA CONSUMIR Y OTROS PRODUCTOS ALIMENTICIOS,Otros productos alimenticios,13492873.81,0.001913
ALIMENTOS Y BEBIDAS,AVES,Aves,114909266.78,0.016296
ALIMENTOS Y BEBIDAS,"AZUCAR, DULCES, GOLOSINAS Y CACAO","Azucar, dulces y miel",35462000.4799998,0.005029
ALIMENTOS Y BEBIDAS,"AZUCAR, DULCES, GOLOSINAS Y CACAO",Cacao y chocolates,12588725.6999999,0.001785
ALIMENTOS Y BEBIDAS,"AZUCAR, DULCES, GOLOSINAS Y CACAO",Caramelos y confituras,22038603.87,0.003125
ALIMENTOS Y BEBIDAS,BEBIDAS ALCOHOLICAS,Bebidas alcoholicas,81649791.3500002,0.011579
ALIMENTOS Y BEBIDAS,BEBIDAS NO ALCOHOLICAS,Bebidas no alcoholicas,160271361.58,0.022728
ALIMENTOS Y BEBIDAS,"CARNE VACUNA, PORCINA, OVINA Y MENUDENCIAS",Achuras y menudencias,12210313.88,0.001732
ALIMENTOS Y BEBIDAS,"CARNE VACUNA, PORCINA, OVINA Y MENUDENCIAS",Carne ovina,4621020.03,0.000655
ALIMENTOS Y BEBIDAS,"CARNE VACUNA, PORCINA, OVINA Y MENUDENCIAS",Carne porcina,9307297.93999998,0.00132
ALIMENTOS Y BEBIDAS,"CARNE VACUNA, PORCINA, OVINA Y MENUDENCIAS",Carne vacuna,363397251.670002,0.051534
ALIMENTOS Y BEBIDAS,"CARNE VACUNA, PORCINA, OVINA Y MENUDENCIAS",Otras carnes frescas,1386304.06,0.000197
ALIMENTOS Y BEBIDAS,COMIDAS Y BEBIDAS FUERA DEL HOGAR,Comidas/bebidas en bar/comedor por otras razones,177561141.88,0.02518
ALIMENTOS Y BEBIDAS,COMIDAS Y BEBIDAS FUERA DEL HOGAR,Comidas/bebidas en bar/restaurante en horas de esparcimiento,87792042.1900002,0.01245
ALIMENTOS Y BEBIDAS,"FIAMBRE, EMBUTIDOS Y CONSERVAS","Carnes en conserva o congeladas, embutidos y fiambres",75672884.8300002,0.010731
ALIMENTOS Y BEBIDAS,FRUTAS,"Frutas frescas,secas,en conserva o congeladas",131747748.74,0.018683
ALIMENTOS Y BEBIDAS,"HARINAS, ARROZ, CEREALES Y PASTAS","Harinas, arroz y cereales",45298583.3999999,0.006424
ALIMENTOS Y BEBIDAS,"HARINAS, ARROZ, CEREALES Y PASTAS",Pastas frescas o secas,83045887.7299994,0.011777
ALIMENTOS Y BEBIDAS,HUEVOS,Huevos,39702934.6799999,0.00563
ALIMENTOS Y BEBIDAS,INFUSIONES,Infusiones,58852370.84,0.008346
ALIMENTOS Y BEBIDAS,LECHE,Leche,104929574.630001,0.01488
ALIMENTOS Y BEBIDAS,PESCADOS Y MARISCOS,Mariscos frescos o congelados,2108258.04,0.000299
ALIMENTOS Y BEBIDAS,PESCADOS Y MARISCOS,Pescados frescos o congelados,25790940.8899999,0.003657
ALIMENTOS Y BEBIDAS,PRODUCTOS DE PANADERIA,Productos de panaderia,254940067.820001,0.036154
ALIMENTOS Y BEBIDAS,PRODUCTOS LACTEOS,Productos lacteos,135181168.16,0.01917
ALIMENTOS Y BEBIDAS,SALSAS Y CONDIMENTOS,"Especias, aderezos y condimentos",24229898.1,0.003436
ALIMENTOS Y BEBIDAS,VERDURAS Y LEGUMBRES,"Legumbres frescas, secas, en conserva o congeladas",10118881.23,0.001435
ALIMENTOS Y BEBIDAS,VERDURAS Y LEGUMBRES,"Verduras y tuberculos frescos,secos,en conserva o congelados",173690048.84,0.024631
ATENCION MEDICA Y GASTOS PARA LA SALUD,PRODUCTOS MEDICINALES Y ACCESORIOS TERAPEUTICOS,Aparatos y Accesorios terapeuticos,27870526.73,0.003952
ATENCION MEDICA Y GASTOS PARA LA SALUD,PRODUCTOS MEDICINALES Y ACCESORIOS TERAPEUTICOS,Elementos para primeros auxilios,8332616.39,0.001182
ATENCION MEDICA Y GASTOS PARA LA SALUD,PRODUCTOS MEDICINALES Y ACCESORIOS TERAPEUTICOS,Productos medicinales y farmaceuticos,282354554.160001,0.040041
ATENCION MEDICA Y GASTOS PARA LA SALUD,SERVICIOS PARA LA SALUD,Internaciones e intervenciones quirurgicas,17866158.19,0.002534
ATENCION MEDICA Y GASTOS PARA LA SALUD,SERVICIOS PARA LA SALUD,Residencia o asilos de anciano y geriatricos,12061655.46,0.00171
ATENCION MEDICA Y GASTOS PARA LA SALUD,SERVICIOS PARA LA SALUD,Servicios auxiliares para la salud,16022960.32,0.002272
ATENCION MEDICA Y GASTOS PARA LA SALUD,SERVICIOS PARA LA SALUD,Servicios profesionales para la salud,72860979.63,0.010333
ATENCION MEDICA Y GASTOS PARA LA SALUD,SERVICIOS PARA LA SALUD,Sistema prepago de asistencia medica,167364135.04,0.023734
