division,grupo,clase,subclase,articulo,monto,porcentaje
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Aceite de girasol,24775833.31,0.001761
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Aceite de maíz,3198390.138,0.000227
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Aceite de oliva,5671977.565,0.000403
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Aceite de soja,3123958.643,0.000222
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Aceite mezcla,34071915.074,0.002421
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Otros aceites,342243.923,2.4e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Aceites,Surtidos de aceites,822295.063,5.8e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Grasas para la cocina (excluye manteca que va en productos lácteos),Grasa porcina,309691.504,2.2e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Grasas para la cocina (excluye manteca que va en productos lácteos),Grasa vacuna,3738828.801,0.000266
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Grasas para la cocina (excluye manteca que va en productos lácteos),Margarina,3342817.893,0.000238
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Grasas para la cocina (excluye manteca que va en productos lácteos),Otras grasas,367276.201,2.6e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Aceites y grasas,Grasas para la cocina (excluye manteca que va en productos lácteos),Surtidos de grasa para la cocina,24192.23,2e-06
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Azúcar y edulcorantes,Azúcar,40348320.6769999,0.002867
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Azúcar y edulcorantes,Edulcorante,5136578.545,0.000365
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Alfajores,21214743.2030001,0.001507
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Barra de cereales,3665631.75,0.00026
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Bombones y bocaditos de chocolate,2471739.674,0.000176
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Caramelos o confites,12143706.11,0.000863
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Chicles,4185415.148,0.000297
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Chocolate para taza/repostería,2404428.377,0.000171
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Chocolates y chocolatines,9173539.76199999,0.000652
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Chupetines,1939499.821,0.000138
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Obleas cubiertas con chocolate o con confituras,798781.072,5.7e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Otras golosinas y confituras,11411457.562,0.000811
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Otros preparados de chocolate,4397443.633,0.000312
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Pastillas en paquete,2476129.802,0.000176
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Surtidos de chocolates y otros dulces,6253064.42899999,0.000444
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Chocolates y otros dulces (golosinas),Turrón,3174195.844,0.000226
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.","Dulces, mermeladas y miel",Dulce de batata,3580156.78,0.000254
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.","Dulces, mermeladas y miel",Dulce de membrillo,2613409.28,0.000186
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.","Dulces, mermeladas y miel","Mermeladas, otros dulces y jaleas",11362722.609,0.000807
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.","Dulces, mermeladas y miel",Miel y similares,2152116.847,0.000153
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.","Dulces, mermeladas y miel","Surtidos de dulces, mermeladas y miel",119061.453,8e-06
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Helados,Helado envasado por kilo o litro,16509926.884,0.001173
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Helados,Helado individual,14510077.509,0.001031
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,"Azúcar, dulces, chocolate, golosinas, etc.",Helados,Helado suelto,16069630.405,0.001142
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas","Formitas, patitas, etc.",1918403.419,0.000136
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Hamburguesas de pollo,1002939.654,7.1e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Menudencias de ave,5318474.995,0.000378
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Otras aves,1576040.945,0.000112
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Otros alimentos semipreparados en base a pollo,1899557.852,0.000135
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Pollo entero,154574146.37,0.010984
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Pollo trozado,47158150.0520001,0.003351
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Supremas de pollo rebozadas,28807375.71,0.002047
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne de ave, fresca, congelada o semipreparadas",Surtidos de carne de ave,890990.788,6.3e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada","Achuras y menudencias, porcinas y ovinas",446318.543,3.2e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Carré de cerdo,1408362.832,0.0001
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Costeleta - chuleta de cerdo,3732993.4,0.000265
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Lechón entero o medio,10703555.442,0.000761
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Lomo de cerdo,433423.875,3.1e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Otros cortes de carne porcina,1484029.76,0.000105
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada","Ovino y caprino, entero o por corte",7854180.609,0.000558
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Paleta de cerdo,509922.552,3.6e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Pechito de cerdo,2489258.175,0.000177
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne porcina u ovina, fresca o congelada",Surtidos de carne porcina u ovina,824060.815,5.9e-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,Carnes y derivados,"Carne vacuna, fresca, congelada o semipreparadas",Aguja,14232815.1,0.001011
