"division","grupo","clase","subclase","articulo","monto","porcentaje"
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Aceite de girasol,866657709.2903,0.002737862940298021
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Aceite de maíz,31959953.124900002,0.0001009648564783
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Aceite de oliva,135005484.381,0.0004264965377466
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Aceite de soja,2812236.3193,0.0000088841505884
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Aceite mezcla,137816459.5445,0.0004353767042111
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Otros aceites,3649022.5886999997,0.0000115276465054
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Aceites,Surtidos de aceites,604236.345,0.0000019088462243
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Grasas para la cocina,Grasa porcina,4859571.4271,0.0000153518977254
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Grasas para la cocina,Grasa vacuna,22544498.1115,0.000071220442887
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Grasas para la cocina,Margarina,25204583.0804,0.0000796239313419
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Grasas para la cocina,Otras grasas,1210505.7116,0.0000038241149779
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Grasas para la cocina,Surtidos de grasa para la cocina,143019.9,0.0000004518149204
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,Aceites y grasas,Manteca,Manteca,365904669.5879,0.0011559313715296807
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Azúcar y edulcorantes,Azúcar,512536616.60058,0.001619157128695684
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Azúcar y edulcorantes,Edulcorante,126217474.2528,0.0003987342886014
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Alfajores,387771752.7956,0.0012250117894213
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Barra de cereales,76759220.9941,0.0002424904598818
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Bombones y bocaditos de chocolate,65340652.8598,0.0002064180010655
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Caramelos o confites,129223346.31019999,0.0004082301548713
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Chicles,82536764.2854,0.0002607423273649
ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,ALIMENTOS,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",Chocolates y otros dulces (golosinas),Chocolate para taza/repostería,40038427.7165,0.0001264856081677
