division,grupo,clase,subclase,articulo,monto,porcentaje
"ALIMENTOS Y BEBIDAS","ALIMENTOS PARA CONSUMIR EN EL HOGAR","PAN Y CEREALES","PRODUCTOS DE PANADERÍA Y PASTELERÍA","FACTURAS Y CHURROS",155488899.63,0.002517
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,"GALLETAS, GRISINES Y TOSTADAS",44250722.25,0.000716
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,GALLETITAS DE AGUA ENVASADAS,116347900.58,0.001883
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,GALLETITAS DE AGUA SUELTAS,4577408.99,7.4E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,GALLETITAS DULCES ENVASADAS,256505825.05,0.004152
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,GALLETITAS DULCES SUELTAS,5952922.64,9.6E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,GALLETITAS DE OTRO TIPO,49162775.73,0.000796
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,MASAS SECAS O FINAS,9860812.79,0.00016
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN ENVASADO EN REBANADAS BLANCO,52233492.68,0.000846
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN ENVASADO EN REBANADAS INTEGRAL,21074544.33,0.000341
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN TIPO FRANCÉS FRESCO EN PIEZAS,813228492.080002,0.013164
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN INTEGRAL FRESCO EN PIEZAS,11730818.49,0.00019
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN PARA HAMBURGUESAS - PEBETES - PANCHOS,33115550.35,0.000536
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PAN RALLADO,35620075.19,0.000577
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PANES Y PANECILLOS FRESCOS DE OTRO TIPO,62906424.3900001,0.001018
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,PANES Y PANECILLOS PRECOCIDOS Y CONGELADOS,2399921.34,3.9E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,"TORTAS, TARTAS, PAN DULCE",101852565.89,0.001649
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,OTROS PRODUCTOS DE PANADERÍA Y REPOSTERÍA,14778655.18,0.000239
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PRODUCTOS DE PANADERÍA Y PASTELERÍA,SURTIDOS DE PRODUCTOS DE PANADERÍA Y PASTELERÍA,2753896.09,4.5E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",ARROZ BLANCO,168917562.22,0.002734
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",ARROZ INTEGRAL,2714833.82,4.4E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",OTROS ARROCES CON ADITAMENTOS,1360548.75,2.2E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",AVENA,4443741.29,7.2E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",CEREALES EN GRANO,8163775.32,0.000132
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",CEREALES INFLADOS,31514611.83,0.00051
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",FÉCULAS,2576967.96,4.2E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",HARINA DE MAÍZ,23954569.19,0.000388
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",HARINA DE TRIGO,68876644.2999999,0.001115
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES","MEZCLA DE HARINA PARA PIZZA, ÑOQUIS, TORTA FRITA",6561465.88,0.000106
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",MEZCLA DE CEREALES Y FIBRAS O FRUTAS,2401261.18,3.9E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",SÉMOLA Y SEMOLÍN,2373544.03,3.8E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES",OTRAS HARINAS,1816272.76,2.9E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,"HARINAS, ARROZ Y CEREALES","SURTIDOS DE HARINAS, ARROZ Y CEREALES",418876.68,7E-06
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,CANELONES,5213944.36,8.4E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,EMPANADAS PREPARADAS SIN COCINAR,1015810.13,1.6E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,FIDEOS FRESCOS,33111237.2,0.000536
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,FIDEOS SECOS,273556772.96,0.004428
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,ÑOQUIS FRESCOS,18427209.6,0.000298
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,PASTAS DESHIDRATADAS CON Y SIN RELLENO,5537875.25,9E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,PIZZAS PREPARADAS SIN COCINAR,11186978.41,0.000181
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,PRE-PIZZA,57705120.1,0.000934
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,RAVIOLES FRESCOS,118866942.79,0.001924
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,"TAPAS FRESCAS PARA CANELONES, PANQUEQUES, LASAGNAS, ETC..",5802473.15,9.4E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,TAPAS FRESCAS PARA EMPANADAS Y PASTELITOS,60092579.27,0.000973
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,TAPAS FRESCAS PARA TARTAS,43406127.17,0.000703
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,TARTAS PREPARADAS SIN COCINAR,58905.7,1E-06
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,"OTRAS PASTAS FRESCAS RELLENAS,  TORTELLETIS,  FIDEOS RELLENOS, PANZZOTIS, AGNOLOTTIS, CAPELLETTIS, ETC..",25261060.19,0.000409
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,OTROS ALIMENTOS SEMIPREPARADOS EN BASE A PASTAS,543272.94,9E-06
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,PAN Y CEREALES,PASTAS,SURTIDOS DE PASTAS,612534.13,1E-05
ALIMENTOS Y BEBIDAS,ALIMENTOS PARA CONSUMIR EN EL HOGAR,CARNES Y DERIVADOS,"CARNE VACUNA, FRESCA, CONGELADA O SEMIPREPARADAS",AGUJA,52964861,0.000857
